Date,Open,High,Low,Close,Volume,return_1d,return_5d,realized_vol_20d
2020-10-01,274.085,275.154,272.184,274.536,51425288,0.01585563050645522,0.06354064168222706,0.36304804291618004
2020-10-02,268.471,274.526,265.969,266.811,77618110,-0.02813838622257203,0.01013118291782611,0.3313683858265852
2020-10-05,268.791,272.812,268.681,272.496,28976284,0.021307217468545137,0.010614388393155094,0.33847460200083646
2020-10-06,271.652,273.499,266.752,267.644,51100424,-0.017805765956197428,-0.0028575579987407673,0.29622464553898364
2020-10-07,270.241,273.054,269.713,272.261,28313249,0.01725052681920758,0.007437530295910211,0.2837662533922466
2020-10-08,274.605,274.751,272.645,273.711,26157987,0.0053257719614634436,-0.0030050703732843465,0.27347188509144155
2020-10-09,275.359,277.976,274.987,277.898,31049492,0.015297156489874508,0.04155375902792624,0.27537507572894954
2020-10-12,282.664,289.33,281.555,286.487,81600174,0.030907023440255088,0.05134387293758458,0.2885983607820024
2020-10-13,288.241,288.926,285.104,286.477,66044530,-3.490559781094138e-05,0.07036585912630189,0.2861053967150326
2020-10-14,287.262,288.251,282.329,284.085,38225646,-0.00834971044795918,0.043428915636098964,0.2806385584251079
2020-10-15,279.408,282.762,278.713,282.173,43708397,-0.006730379991903734,0.03091581997069892,0.27439411084537596
2020-10-16,283.831,285.262,280.281,280.614,41710329,-0.005524979356635873,0.00977337008542678,0.26981104146921997
2020-10-19,282.555,283.514,275.066,276.055,37789250,-0.016246516567241742,-0.03641351963614414,0.27933323510549374
2020-10-20,276.79,279.772,275.222,276.644,33099727,0.002133632790566997,-0.03432387242256785,0.2733245994219461
2020-10-21,276.898,279.476,275.949,276.429,30129344,-0.0007771721056666347,-0.02694968055335556,0.24490170219865504
2020-10-22,277.272,278.163,273.133,276.419,33100551,-3.6175654507975e-05,-0.020391745489469315,0.2452445208791072
2020-10-23,277.017,277.134,274.075,276.967,25351199,0.001982497585187648,-0.01299650053097845,0.23393678235438617
2020-10-26,274.605,277.506,269.203,272.792,39500341,-0.01507399798531961,-0.011820108311749622,0.23129248793238552
2020-10-27,273.721,275.761,272.536,274.939,31417527,0.007870465409542948,-0.006163155535634179,0.23177159168017897
2020-10-28,270.537,271.036,263.96,264.213,54913906,-0.03901228999887252,-0.04419217954700827,0.2710560633188358
2020-10-29,265.575,271.851,265.064,268.839,44461089,0.017508601015089997,-0.027422138130881013,0.2724783503300236
2020-10-30,266.881,267.724,259.785,262.028,67788028,-0.02533486584907685,-0.053937833749146846,0.2689207933621028
2020-11-02,264.302,266.047,259.685,262.605,41110653,0.0022020547422412218,-0.03734347048300524,0.2563794121864383
2020-11-03,264.428,269.263,263.429,267.145,44828983,0.01728832276613157,-0.028348106307217402,0.2574417834097499
2020-11-04,275.821,280.87,274.163,279.075,77855407,0.044657395796290356,0.056250070965470966,0.2970830398571234
2020-11-05,285.399,287.329,284.026,286.35,53516385,0.026068261220102196,0.06513563880240603,0.30957730892564245
2020-11-06,285.563,287.301,281.908,286.565,42110320,0.0007508294045748265,0.09364266414276323,0.305848065334238
2020-11-09,289.183,290.967,280.252,280.692,88967893,-0.020494477692669988,0.06887530702004918,0.2950034525027584
2020-11-10,277.466,278.83,272.939,275.682,70963783,-0.017848745243897235,0.03195642815699351,0.30105920621591103
2020-11-11,278.104,282.319,275.646,281.839,37117061,0.02233370332484519,0.009904147630565241,0.31165082374214004
2020-11-12,282.772,284.104,279.408,280.516,35486401,-0.004694169366198375,-0.02037366858739309,0.31116959607587585
2020-11-13,282.085,283.602,280.006,282.975,25579474,0.008765988392819057,-0.01252769877689175,0.312006399968027
2020-11-16,282.744,285.495,282.065,285.193,31015789,0.00783814824631146,0.016035369729098026,0.3064190685828663
2020-11-17,285.389,285.712,283.642,284.281,22457044,-0.0031978344489520527,0.031191735405285748,0.3069275423448793
2020-11-18,283.732,285.36,282.094,282.183,28858093,-0.007380021879759835,0.0012205549977113428,0.30847960555560316
2020-11-19,281.565,284.703,280.946,284.388,23356580,0.007814078098255406,0.013803134224072533,0.3093165448711259
2020-11-20,284.309,285.064,282.358,282.446,26635043,-0.0068286988199218746,-0.0018694230939129142,0.3107508107013666
2020-11-23,283.447,284.752,280.202,282.456,27630522,3.5404997769550306e-05,-0.00959700974427835,0.304853048008717
2020-11-24,283.524,286.926,281.712,286.427,25205466,0.014058826861528928,0.007548868900841166,0.3072379830913765
2020-11-25,287.378,288.819,286.545,288.181,23982074,0.006123724369559991,0.02125570994709114,0.26587542314150353
2020-11-27,290.133,291.977,289.751,290.84,17645226,0.009226840076202114,0.022687314513973877,0.26209252487665224
2020-11-30,291.122,291.78,286.731,291.437,28618151,0.0020526750103151414,0.031832633494544016,0.23828903202653837
2020-12-01,293.613,296.8,292.613,295.172,28419121,0.012815805817380843,0.045019401251876534,0.23935296338257966
2020-12-02,293.956,295.887,292.141,295.553,24283488,0.0012907728375319838,0.031861521434780826,0.23603211344311142
2020-12-03,295.76,297.525,295.241,295.966,23469985,0.0013973805036660014,0.027014272280268425,0.18433008059579983
2020-12-04,296.016,297.32,295.341,297.17,19875119,0.00406803484184004,0.021764544079218906,0.1631488991188478
2020-12-07,297.359,299.22,297.17,298.858,21347350,0.005680250361745687,0.025463479242512133,0.16362343861477463
2020-12-08,298.375,300.162,296.623,299.867,18754386,0.0033761853455487323,0.015905980242028273,0.14004246116270014
2020-12-09,299.652,299.936,292.016,293.083,50149668,-0.022623363024274035,-0.008357215118777295,0.150278289046196
2020-12-10,291.034,295.388,289.936,294.25,28292438,0.003981807201372867,-0.005797963279565943,0.13216566142130376
2020-12-11,292.593,293.721,290.309,293.593,27512114,-0.002232795242140928,-0.012036881246424547,0.1307463798510091
2020-12-14,294.802,297.689,294.732,295.73,29613958,0.0072787838947114825,-0.010466509178271854,0.12987655605784895
2020-12-15,298.006,298.897,295.8,298.897,26514907,0.010709092753525162,-0.003234767413553441,0.13190221632994759
2020-12-16,299.289,301.318,298.25,300.533,26177112,0.0054734574117505375,0.025419420437214013,0.13062184350313613
2020-12-17,302.142,302.74,300.935,302.504,24397112,0.0065583480017170626,0.028050977060323,0.12545991940367043
