Date,Open,High,Low,Close,Volume,return_1d,return_5d,realized_vol_20d,spot,strike,dte,T,sigma,r,option_type,call_price,delta,gamma,theta,vega,hedge_0,hedge_25,hedge_50,hedge_75,hedge_100,spot_next,sigma_next,call_price_next,option_pnl,option_pnl_contract,total_pnl_0,total_pnl_25,total_pnl_50,total_pnl_75,total_pnl_100,best_hedge_idx,target_hedge_ratio
2018-02-21,238.327,241.105,236.5,236.51,6163132.879373,-0.0066278014851651,0.007106936182353,0.2841904663159006,236.51,237.0,30,0.0821917808219178,0.2841904663159006,0.03,call,7.730742222358941,0.5181851031214135,0.0206816578327986,-50.161587860864785,27.02229680011739,-0.0,-0.1295462757803533,-0.2590925515607067,-0.3886388273410601,-0.5181851031214135,238.218,0.2857387922954814,8.547834445690583,0.8170922233316418,81.70922233316418,81.70922233316418,81.48666183137352,81.26410132958289,81.04154082779223,80.8189803260016,0,0.0
2018-02-22,237.388,240.005,237.288,238.218,6639494.5690191,0.0072216819584796,0.0033273244941625,0.2857387922954814,238.218,238.0,30,0.0821917808219178,0.2857387922954814,0.03,call,8.178533958710872,0.5327703361841869,0.0203743419013204,-50.76201648350191,27.15378238049288,-0.0,-0.1331925840460467,-0.2663851680920934,-0.3995777521381402,-0.5327703361841869,241.484,0.2904830519300099,10.011249614042697,1.8327156553318247,183.27156553318247,183.27156553318247,182.83522662784762,182.39888772251277,181.96254881717792,181.52620991184307,0,0.0
2018-02-23,239.466,241.524,238.767,241.484,5326945.072978,0.0137101310564273,0.0041958623557543,0.2904830519300099,241.484,241.0,30,0.0821917808219178,0.2904830519300099,0.03,call,8.55301198238567,0.5379772109739202,0.0197475374562676,-52.22569149515906,27.494058811319288,-0.0,-0.13449430274348,-0.2689886054869601,-0.4034829082304401,-0.5379772109739202,245.3,0.2951566630253853,10.728500371309138,2.175488388923469,217.5488388923469,217.5488388923469,217.03426369005035,216.5196884877538,216.00511328545724,215.4905380831607,0,0.0
2018-02-26,242.853,245.55,242.503,245.3,6365427.7108083,0.0158022891785791,0.019640444767744,0.2951566630253853,245.3,245.0,30,0.0821917808219178,0.2951566630253853,0.03,call,8.722658066173878,0.5342313182428875,0.0191488651780906,-53.859281265595214,27.952401113333305,-0.0,-0.1335578295607218,-0.2671156591214437,-0.4006734886821656,-0.5342313182428875,242.503,0.2967554941379922,7.200938162113843,-1.5217199040600349,-152.1719904060035,-152.1719904060035,-151.79976473501773,-151.42753906403203,-151.05531339304628,-150.68308772206055,4,1.0
2018-02-27,245.48,246.199,242.463,242.503,7561005.1898781,-0.0114023644516919,0.0185435637243371,0.2967554941379922,242.503,243.0,30,0.0821917808219178,0.2967554941379922,0.03,call,8.277380728354174,0.518925247461457,0.0193148325800381,-53.541036628520054,27.70462893717669,-0.0,-0.1297313118653642,-0.2594626237307285,-0.3891939355960927,-0.518925247461457,238.897,0.2976225836377218,6.412070138766438,-1.865310589587736,-186.5310589587736,-186.5310589587736,-186.06454516130574,-185.59803136383792,-185.13151756637004,-184.6650037689022,4,1.0
2018-02-28,243.672,244.221,238.897,238.897,5550117.1466402,-0.014869919135021,0.0100925965075473,0.2976225836377218,238.897,239.0,30,0.0821917808219178,0.2976225836377218,0.03,call,8.366438633408777,0.5265137482668483,0.0195280442111403,-52.88325179703651,27.263048391165075,-0.0,-0.131628437066712,-0.2632568741334241,-0.3948853112001362,-0.5265137482668483,234.871,0.30171705685085,6.37192206007478,-1.9945165733339962,-199.45165733339962,-199.45165733339962,-198.9230375301397,-198.39441772687982,-197.86579792361988,-197.33717812035997,4,1.0
2018-03-01,238.907,240.485,233.312,234.871,8530332.4633406,-0.0168524510563129,-0.0140501557397004,0.30171705685085,234.871,235.0,30,0.0821917808219178,0.30171705685085,0.03,call,8.321580807730598,0.5260753809058804,0.0195946546427243,-52.65726524313745,26.80554614243948,-0.0,-0.1315188452264701,-0.2630376904529402,-0.3945565356794103,-0.5260753809058804,234.291,0.3014501449141841,7.8676742536815425,-0.45390655404905544,-45.390655404905544,-45.390655404905544,-45.315689663126456,-45.24072392134736,-45.16575817956828,-45.09079243778919,4,1.0
2018-03-02,232.513,234.811,231.215,234.291,6696023.0857912,-0.0024694406716878,-0.0297866525318447,0.3014501449141841,234.291,234.0,30,0.0821917808219178,0.3014501449141841,0.03,call,8.501436067905317,0.5343158179099732,0.0196297214291181,-52.45882052005754,26.6974164312858,-0.0,-0.1335789544774933,-0.2671579089549866,-0.4007368634324799,-0.5343158179099732,237.588,0.2947961095365642,10.051980052180568,1.5505439842752509,155.0543984275251,155.0543984275251,154.612652825068,154.17090722261096,153.7291616201539,153.2874160176968,0,0.0
2018-03-05,232.793,238.357,232.753,237.588,5122539.0934868,0.0140722434920674,-0.0314390542193233,0.2947961095365642,237.588,238.0,30,0.0821917808219178,0.2947961095365642,0.03,call,8.092746905840627,0.5203103805941272,0.0198420396615981,-52.13439854567943,27.138475952665083,-0.0,-0.1300775951485318,-0.2601551902970636,-0.3902327854455953,-0.5203103805941272,237.588,0.2422105603908888,6.545369482591383,-1.5473774232492445,-154.73774232492445,-154.73774232492445,-154.73904310087593,-154.74034387682744,-154.74164465277892,-154.7429454287304,0,0.0
2018-03-06,238.877,238.877,235.86,237.588,4617215.9360564,0.0,-0.0202677905015608,0.2422105603908888,237.588,238.0,30,0.0821917808219178,0.2422105603908888,0.03,call,6.665453109663588,0.5180571612709679,0.0241564505081679,-43.49056144770482,27.14585897413153,-0.0,-0.1295142903177419,-0.2590285806354839,-0.3885428709532259,-0.5180571612709679,236.888,0.2279417125184574,5.8091100994222415,-0.8563430102413463,-85.63430102413463,-85.63430102413463,-85.54493616381538,-85.45557130349614,-85.3662064431769,-85.27684158285767,4,1.0
2018-03-07,234.751,237.338,234.331,236.888,5616425.6143406,-0.0029462767479838,-0.0084094819106141,0.2279417125184574,236.888,237.0,30,0.0821917808219178,0.2279417125184574,0.03,call,6.40722388359265,0.5251857562105158,0.0257194926000132,-41.034465966197025,27.039628226744973,-0.0,-0.1312964390526289,-0.2625928781052579,-0.3938893171578868,-0.5251857562105158,237.888,0.2283862378334798,6.843426849983004,0.43620296639035416,43.620296639035416,43.620296639035416,43.48768723559226,43.35507783214911,43.22246842870595,43.08985902526279,0,0.0
